,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
0,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,3.45,2.99,1/15/2020,,"MULTIPOLYGON (((22.951071059952557 38.28726512275034, 22.955031923483524 38.286939987387306, 22.954050578031694 38.283614803689495, 22.950112107206646 38.283985167748156, 22.951071059952557 38.28726512275034)))",38.28726512,22.95107106
1,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.625,2.625,3/2/2017,,"MULTIPOLYGON (((23.166907275513537 38.24184439916521, 23.17132325507983 38.24038863890235, 23.170873895862407 38.236690437417984, 23.164638989944017 38.23827862188844, 23.166907275513537 38.24184439916521)))",38.2418444,23.16690728
2,ΦΩΚΙΔΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2,2,9/8/2016,,"MULTIPOLYGON (((22.16591133936237 38.36309124959585, 22.164050530827446 38.36240791209475, 22.161449122268635 38.36668572622514, 22.16340778904756 38.36741242604636, 22.16591133936237 38.36309124959585)))",38.36309125,22.16591134
3,ΕΥΒΟΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,18,18,3/9/2016,,"MULTIPOLYGON (((24.270045041017823 38.15446432446569, 24.274396415415467 38.15823952705979, 24.276274325934793 38.156793111074656, 24.276557464150496 38.15620662653115, 24.27272684910711 38.154349977123346, 24.272210287284953 38.15355806722203, 24.270045041017823 38.15446432446569)), ((24.275140881353252 38.15891372938029, 24.278988877429136 38.162257332559975, 24.28196308756083 38.15796925389001, 24.286141814717624 38.15532747300871, 24.28800502583783 38.156025901033836, 24.2890464599246 38.15383328390755, 24.287766088583076 38.1533136974379, 24.284558378121364 38.153186323344336, 24.278730021159987 38.15722892603337, 24.277872459837543 38.156834404112374, 24.277131400735097 38.157061469610525, 24.275140881353252 38.15891372938029)))",38.15446432,24.27004504
4,ΕΥΒΟΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,6.9,6.9,3/9/2016,,"MULTIPOLYGON (((24.321468564157502 38.11648187304045, 24.32547125712147 38.11872401311945, 24.327971755282142 38.11664415320776, 24.32728085711197 38.11520405723004, 24.32477799323992 38.116743151076136, 24.32254833156529 38.11557764971443, 24.321468564157502 38.11648187304045)), ((24.317225104950307 38.111266071909235, 24.317743107030733 38.109714496336416, 24.31510170531878 38.10821649614523, 24.314621012254705 38.10783925266972, 24.313494324320562 38.10843709924478, 24.312734318162573 38.10943051641195, 24.31260200927628 38.1105033741561, 24.315171515660523 38.111190484292734, 24.317225104950307 38.111266071909235)))",38.11648187,24.32146856
5,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,4.5,2.99,12/1/2015,,"MULTIPOLYGON (((22.71064424748867 38.48674985722257, 22.713902054142462 38.48472202294317, 22.71630704957141 38.48422573458358, 22.71702304317567 38.48070103515938, 22.71199484010563 38.48172724072801, 22.70818047950294 38.484109349634885, 22.70848684547664 38.48557260475482, 22.709889129065953 38.48666043767573, 22.71064424748867 38.48674985722257)))",38.48674986,22.71064425
6,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,3.3,2.99,9/17/2015,,"MULTIPOLYGON (((23.554248043573743 38.16281531283649, 23.55635152494504 38.16230054999436, 23.556642394645177 38.15950776037693, 23.553323195935658 38.16098225366615, 23.554248043573743 38.16281531283649)))",38.16281531,23.55424804
7,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,4.7,4.7,9/17/2015,,"MULTIPOLYGON (((23.538761816312963 38.154941645600914, 23.542797364626455 38.153902955248505, 23.542476455533752 38.152288459293516, 23.53840601383356 38.153444165115864, 23.538761816312963 38.154941645600914)))",38.15494165,23.53876182
8,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.35,2.35,9/17/2015,,"MULTIPOLYGON (((23.535558705172118 38.163283646760696, 23.535736484038818 38.164050414803796, 23.537508129742793 38.16368789082936, 23.537318975351965 38.16291206803171, 23.535558705172118 38.163283646760696)))",38.16328365,23.53555871
9,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.35,2.35,9/17/2015,,"MULTIPOLYGON (((23.5416342550389 38.16284787561548, 23.54325093047531 38.163530113913765, 23.543780169043405 38.16286524333589, 23.542163446863242 38.16219202462275, 23.5416342550389 38.16284787561548)))",38.16284788,23.54163426
10,ΕΒΡΟΥ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,14.4,14.4,2/5/2015,,"MULTIPOLYGON (((25.995766582885604 41.03545626544969, 25.990003406689183 41.03240062362128, 25.984750477217194 41.03595900475311, 25.980468257022363 41.04038230188722, 25.984989630277504 41.042782604825476, 25.99023330604512 41.039723569804416, 25.995766582885604 41.03545626544969)))",41.03545627,25.99576658
11,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Π. ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.35,2.35,1/15/2015,,"MULTIPOLYGON (((20.97514125247865 38.816897633358536, 20.978549853361493 38.81689582086382, 20.978603752851985 38.81398734658493, 20.975137779758008 38.813987676001005, 20.97514125247865 38.816897633358536)))",38.81689763,20.97514125
