,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
0,ΕΥΒΟΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,5,5,6/18/2001,,"MULTIPOLYGON (((24.519500161443258 37.98165146247715, 24.521018642826 37.98149657614165, 24.52263462522357 37.98168399351684, 24.52320154227525 37.98182342476264, 24.52479190422409 37.983399851255584, 24.526356675792254 37.98246889207966, 24.52660838447447 37.98219999642604, 24.527313860985693 37.980860680884724, 24.525548642653725 37.979098038354124, 24.523519674588112 37.97859912460099, 24.521053752759453 37.97831319172592, 24.5193529442765 37.97848663874299, 24.5191635171555 37.978767892779366, 24.518862150770893 37.98115928054968, 24.519061603390032 37.981626733262964, 24.519500161443258 37.98165146247715)), ((24.511687242849455 37.981051760621085, 24.51512282519723 37.981260630995806, 24.5176105099039 37.98157011547996, 24.51854301603326 37.981610508202955, 24.518861992499517 37.98115928124784, 24.51916340671072 37.97876789326684, 24.519045762789855 37.97847144616202, 24.518029219666822 37.97842965638645, 24.515585401296413 37.97812566610216, 24.511992525819945 37.97790729634913, 24.511687242849455 37.981051760621085)))",37.98165146,24.51950016
1,ΑΡΚΑΔΙΑΣ,Π. ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,5.2,4.8,10/16/2006,,"MULTIPOLYGON (((22.86117695543036 37.05033339436422, 22.860668213718643 37.04976063874788, 22.860477873644022 37.04970472765791, 22.860863069869666 37.04876197557693, 22.86064654483209 37.048201039170344, 22.861470842746055 37.04797459333088, 22.862214468542152 37.04712541397315, 22.862196342917866 37.046079636046045, 22.86142154835129 37.04525194428627, 22.86017798160106 37.04494254677619, 22.858947198763254 37.04528225485331, 22.858203555629043 37.04613141367722, 22.858222031445916 37.04715015370269, 22.858120838703112 37.04714917975426, 22.857065991272197 37.04775196198024, 22.856657590151176 37.048739547041215, 22.857058747071555 37.04973493275732, 22.857794504179626 37.050165668512115, 22.857417369538684 37.050567658644795, 22.85740169612665 37.05161311053057, 22.858153750287823 37.052458636599745, 22.86117695543036 37.05033339436422)))",37.05033339,22.86117696
2,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,24.15,,9/29/2010,,"MULTIPOLYGON (((23.00827243382221 38.32532489752975, 23.01373146029486 38.32323191065352, 23.011129240672727 38.31900630240363, 23.011089510220827 38.31850416799711, 23.00843311119871 38.317729104125206, 22.99936671568485 38.31322719164863, 22.99507653772303 38.309973212104, 22.991780449948692 38.30351032029171, 22.98787290689434 38.30488255044262, 22.992046038000936 38.31241651060586, 22.99917526139641 38.31800194237709, 23.002746972846154 38.318636172264306, 23.008638624043833 38.32195749061083, 23.000721981534344 38.32198943996409, 23.00041398067392 38.3252581838601, 23.00827243382221 38.32532489752975)))",38.3253249,23.00827243
3,ΛΑΚΩΝΙΑΣ,Π. ΠΕΛΟΠΟΝΝΗΣΟΥ,ΟΧΙ,8.4,,1/29/2020,,"MULTIPOLYGON (((23.09727106229242 36.5136783866804, 23.09722302695776 36.510305449781335, 23.09627183055528 36.509391063484046, 23.094272194558233 36.51041249095472, 23.094887770005116 36.51100426504934, 23.094931876140745 36.514107867077904, 23.09727106229242 36.5136783866804)), ((23.098615497970545 36.51898566529148, 23.098561308962672 36.515914795107754, 23.09622347768614 36.51634675401681, 23.09627043926091 36.519012602691475, 23.098615497970545 36.51898566529148)))",36.51367839,23.09727106
4,ΛΑΚΩΝΙΑΣ,Π. ΠΕΛΟΠΟΝΝΗΣΟΥ,ΟΧΙ,24,,9/26/2019,,"MULTIPOLYGON (((23.085052106318372 36.54481931175592, 23.085140411382195 36.54334596202868, 23.084435449757006 36.54171387404332, 23.081081999248077 36.53977816554261, 23.07953190136764 36.5406612134519, 23.078475300624802 36.54363609622725, 23.07504830220804 36.54481080610565, 23.069654613627545 36.545311259672175, 23.067701672413257 36.54648446888305, 23.068708321620072 36.54758304146777, 23.072191320733822 36.546363405443635, 23.076146948059467 36.54770257159491, 23.077005897108805 36.546971823288295, 23.078257361726244 36.54735815796486, 23.081935902438964 36.542596431534015, 23.08376666001234 36.54206294476301, 23.084694495577985 36.54263877821476, 23.08322270410061 36.544217291333965, 23.085052106318372 36.54481931175592)), ((23.08946556886039 36.5370917013486, 23.0896618283446 36.53915905510028, 23.08911289368859 36.5400208899584, 23.08796793759521 36.54338345305016, 23.08713081683944 36.5436997174482, 23.08793376254136 36.54543826146369, 23.089702426324433 36.54550844198793, 23.092926463889764 36.54327915153254, 23.093672016521737 36.541638215856615, 23.095777831099507 36.53870712111582, 23.096499694188466 36.536327227522975, 23.09312696154594 36.53618668006358, 23.08946556886039 36.5370917013486)))",36.54481931,23.08505211
5,ΦΘΙΩΤΙΔΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,3.4,3,10/5/2021,,"MULTIPOLYGON (((22.98588112931898 38.625131050387424, 22.98783493363744 38.62806531039025, 22.990251156899227 38.62900831320695, 22.993340905296876 38.62884037174597, 22.994816629804816 38.62118313029217, 22.992615003028178 38.620393686614285, 22.98929204222901 38.62064670822819, 22.98682637801962 38.62223075702961, 22.98588112931898 38.625131050387424)))",38.62513105,22.98588113
6,ΑΡΚΑΔΙΑΣ,Π. ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,16,,10/16/2006,,"MULTIPOLYGON (((22.525545162204253 37.43327656119836, 22.52605293890721 37.433318946711026, 22.52616100643897 37.43241900022738, 22.52441741251252 37.43084701819491, 22.52316700766479 37.42891164355226, 22.523441284309666 37.428164022576404, 22.522208534814776 37.42794429574025, 22.522043135342326 37.42859115505464, 22.521075718889087 37.43008421502891, 22.522884364022207 37.43179225292672, 22.525545162204253 37.43327656119836)), ((22.52344366648947 37.4281575314704, 22.52368047088465 37.4275120387419, 22.52463210122853 37.42566725395638, 22.524353773418177 37.42395016947859, 22.523952454512102 37.423892162316235, 22.523544792714777 37.42388210458448, 22.523139745706168 37.423920218094715, 22.522746211757635 37.424005665015486, 22.522663424240353 37.42616521628396, 22.522210331573746 37.42793769459255, 22.52344366648947 37.4281575314704)), ((22.522669339168125 37.42238619345403, 22.523026836745466 37.422408666350044, 22.523384963792555 37.42239386394606, 22.523737635021902 37.42234203829987, 22.52407885793334 37.42225407000123, 22.523835768679035 37.42075426452566, 22.52428442006385 37.418046966024995, 22.524234339823305 37.41656821500373, 22.52369273882848 37.413576194039095, 22.52335357182515 37.413546604213394, 22.523012422123116 37.413550727780475, 22.522674535704514 37.413588501396056, 22.522345109947555 37.413659345626165, 22.52253617465409 37.42075605311538, 22.522669339168125 37.42238619345403)), ((22.522333624005313 37.4132327310471, 22.522657615689557 37.41323037063445, 22.522979011681375 37.413197641958135, 22.52329335412698 37.413134998579025, 22.52359628210954 37.41304331081305, 22.522929532753732 37.40935956995128, 22.523030047957675 37.40669596700206, 22.522661910991438 37.40664908441677, 22.522289209054417 37.40664233789043, 22.521918784789506 37.40667585258706, 22.521557443423227 37.406749013322376, 22.521849331344132 37.406831448513266, 22.521400673121075 37.40953874232615, 22.52231407054085 37.412506417367084, 22.522333624005313 37.4132327310471)))",37.43327656,22.52554516
7,ΕΥΒΟΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,12.6,12.6,2/14/2022,,"MULTIPOLYGON (((24.281657657827264 38.18835133124007, 24.288731246413228 38.19545405111754, 24.29165746225884 38.193256775101126, 24.283471695754162 38.18499430110274, 24.281657657827264 38.18835133124007)))",38.18835133,24.28165766
8,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,Π. ΑΤΤΙΚΗΣ,ΝΑΙ,3,,9/23/2020,,"MULTIPOLYGON (((23.358507871344685 38.198921820892075, 23.35042536787461 38.19784749004452, 23.350089373288643 38.20009793582399, 23.357935308159696 38.20088600156276, 23.358507871344685 38.198921820892075)))",38.19892182,23.35850787
9,ΚΟΖΑΝΗΣ,Π. ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΟΧΙ,27.3,27.3,2/17/2021,,"MULTIPOLYGON (((21.7083761743426 40.35106756225336, 21.707519250126946 40.349917153382926, 21.705607033437374 40.34675418805511, 21.70396126991006 40.343338447723205, 21.701968437021225 40.33956345798517, 21.699793491297235 40.33553786364936, 21.697613811693756 40.330100830940864, 21.696892718010428 40.32425117976192, 21.696690520701992 40.32261076802407, 21.693160479506965 40.322733702766165, 21.693378700688193 40.32450486603345, 21.694133348179076 40.330629279490545, 21.696467393648177 40.336452109566075, 21.698700329872818 40.34058542089935, 21.70066730068204 40.34431176883674, 21.702343049459586 40.34779009375493, 21.70437731861384 40.35115521210969, 21.705268726165603 40.35235199201357, 21.7083761743426 40.35106756225336)))",40.35106756,21.70837617
